unit	api_turns	tool_calls	headless_test_runs	png_reads	image_KB	output_tokens	total_input_tokens_paid	final_ctx_K	duration_min	transcript
env-detail	308	179	3	0	0	132374	76165641	374	30	agent-a022900bb71ce404c.jsonl
org-detail	345	207	6	7	1111	113959	64707447	302	27	agent-ad557112ca3b33e5c.jsonl
app-detail	304	179	2	2	984	110241	60945113	331	31	agent-aec32dae6944320b2.jsonl
apps	293	175	2	0	0	109350	64558065	345	30	agent-a881c94641cb3cf5b.jsonl
dashboard	256	148	2	0	0	100716	39693143	244	28	agent-a943b1ff6c0d92272.jsonl
orgs	247	144	4	5	1010	74484	38270582	255	20	agent-ac8cf7f380a442a28.jsonl
login	265	158	4	5	369	60092	25637428	161	19	agent-a5fbe1a1e86b51a1d.jsonl
account	258	166	4	12	1677	59090	37935319	227	19	agent-a0eeb9b82e57228c4.jsonl
debug	192	118	1	2	295	58098	25903873	202	15	agent-a49425f1648b83cd4.jsonl
dashboard	103	68	0	0	0	39433	8912560	152	8	agent-a8e5088856e87ada8.jsonl
orgs	92	58	0	0	0	37650	7391638	146	8	agent-af64be5abe2c75110.jsonl
login	124	78	1	4	270	35696	10320790	143	8	agent-a7575559b4af1f550.jsonl
app-detail	129	75	0	2	471	33517	11215946	155	8	agent-a3f85499c7fcaad28.jsonl
account	98	54	0	0	0	33059	7342977	123	8	agent-a5722b486eade20cd.jsonl
org-detail	110	66	0	0	0	32841	11695208	191	8	agent-acf960ab4da3a87a0.jsonl
cred-card	136	92	0	0	0	32674	9895094	0	9	agent-aa6491b162fe1acb9.jsonl
attached-vars	90	56	5	0	0	31090	4626181	0	9	agent-abb34f74d33c84f1f.jsonl
orgs	120	66	1	0	0	30581	6027086	0	8	agent-aa48f8336596d2d21.jsonl
maintenance-card	121	72	6	0	0	29942	9747248	0	9	agent-aa7b57d480c870da9.jsonl
apps	104	69	0	0	0	27998	8717426	164	8	agent-a8d36df1dd65e752b.jsonl
env-detail	129	72	1	0	0	27573	8217477	0	9	agent-aa1c7c3a7053fc798.jsonl
apps	106	57	1	0	0	27573	6297719	0	9	agent-a8a6e52f772b90c00.jsonl
env-detail	87	57	0	0	0	27014	7562823	145	8	agent-a0a8dbfbe58d80929.jsonl
account	140	80	1	1	59	26896	8999798	0	9	agent-add26915e0a9a165b.jsonl
debug	61	43	0	0	0	25092	4150048	115	8	agent-a2d34e5ccc4331c15.jsonl
confirm-dialog	89	52	3	0	0	24335	4559119	0	8	agent-a97b400cd628739c5.jsonl
dropdown	71	43	5	0	0	23906	4113454	91	7	agent-a113a22493336139a.jsonl
org-detail	147	84	2	0	0	21270	7812164	0	8	agent-a4d841eb5f6358f9e.jsonl
roles-card	92	53	1	0	0	20745	4471298	0	7	agent-a07012d7e5c352e15.jsonl
app-detail	135	75	2	0	0	20384	8728569	0	10	agent-a908250f75fa9ffb6.jsonl
quick-actions	72	43	3	0	0	16706	3987767	0	9	agent-a8bfd78b050b26887.jsonl
dashboard	70	39	6	0	0	12705	2935516	0	9	agent-a234fc44f38c04ce3.jsonl
(verify)	37	20	1	0	0	10427	1333797	50	9	agent-ab86b68e67f8684b3.jsonl
deploy-status-table	49	34	2	0	0	8162	1738728	51	2	agent-a7d546e2ed992019e.jsonl
app-shell	38	24	1	0	0	5801	1078867	46	2	agent-a96d7f79a17d0b2c2.jsonl
tokens-list	48	32	0	0	0	4213	2088322	0	2	agent-a218941d1fda0189b.jsonl
(verify)	16	8	2	0	0	3027	468702	30	5	agent-a728b65dc14620ca8.jsonl
track-panel	1	0	0	0	0	0	0	0	0	agent-a64763107811c9fe2.jsonl
(verify)	1	0	0	0	0	0	0	0	0	agent-a98f816de93873ac8.jsonl
(smoke)	1	0	0	0	0	0	0	0	0	agent-a009d83e8730a5e9b.jsonl
